episode,step,qpos0,qpos1,qpos2,qpos3,qpos4,qpos5,qpos6,qpos7,qvel0,qvel1,qvel2,qvel3,qvel4,qvel5,qvel6,qvel7,qpos12,qpos13,qpos14,qpos15,qpos16,qpos17,qpos18,qpos19,action0,action1,action2,action3,action4,action5,action6,action7,terminated
0.0,0.0,6.348789082568707e-08,9.069193689721907e-06,2.64372165758973e-05,9.875901560103961e-06,2.898425621919393e-05,-3.974872972317074e-06,7.617950565713802e-06,-3.069761630766729e-08,6.333175886734893e-05,0.00896118611144158,0.0264122384146297,0.009783413095983531,0.02893367646983824,-0.003929687132831878,0.00757588978397741,-3.0164463911026142e-05,6.348789082568716e-08,9.069193689721904e-06,2.6437216575897337e-05,9.87590156010398e-06,2.8984256219193888e-05,-3.9748729723171745e-06,7.617950565714212e-06,-3.069761630766575e-08,-0.09393589325439644,-0.14799654653642635,0.477018026190521,-0.04788483956920686,0.16376295184146095,-0.042980008398795344,0.3171675212895644,-0.26612710917723104,0.0
0.0,1.0,-9.370275264645838e-07,-0.00036115191658610274,0.00014564097079435988,-0.0004663560597176657,6.843510743016412e-05,-0.0009803361753077523,0.0012453449415149147,-0.001929967297806579,-0.0010637580977658435,-0.3770203513783029,0.09303087028840577,-0.48373906501732017,0.011780714026429565,-0.9646612884839335,1.225458112660358,-1.9173378014346283,9.26139622035192e-07,0.0018293595964563752,4.095523117442604e-05,-0.0015109947925703157,-0.0001249160353689405,-0.0016470964880455255,-0.0011480906623220662,-0.0019696168905506497,-0.09393589325439644,-0.14799654653642635,0.477018026190521,-0.04788483956920686,0.16376295184146095,-0.042980008398795344,0.3171675212895644,-0.26612710917723104,0.0
0.0,2.0,-4.192265131961491e-06,-0.0014906982754514637,0.00039979837408482945,-0.0019163768180987621,8.143828093846427e-05,-0.003832687995881249,0.004890906492588357,-0.007620210201434016,-0.0021919203334537654,-0.7505252779153853,0.1615031544592115,-0.9642012485961194,0.002622137740300748,-1.8804727460414714,2.4155251104734585,-3.7608763027108516,3.2866205942620516e-06,0.006966154789203344,-1.5857590258808913e-05,-0.005880357109211564,-0.0006955129118913394,-0.006415023790348674,-0.004602379345685092,-0.007775575604501522,-0.09393589325439644,-0.14799654653642635,0.477018026190521,-0.04788483956920686,0.16376295184146095,-0.042980008398795344,0.3171675212895644,-0.26612710917723104,0.0
0.0,3.0,-9.707563152265977e-06,-0.003355547296291858,0.0007934155613166005,-0.0043152058385102715,8.474517691865714e-05,-0.008474419285265005,0.010889386958714314,-0.016926413179054006,-0.003324418323594279,-1.1124723459449923,0.2326136429959476,-1.432734131497928,0.002166759321125828,-2.7545686159309537,3.5785071536634536,-5.533817938273513,7.168827893059035e-06,0.015024806521841507,-0.00013518555576834518,-0.012781008379367277,-0.001678000734170394,-0.014099484998003942,-0.010292792595671677,-0.017267925659608455,-0.09393589325439644,-0.14799654653642635,0.477018026190521,-0.04788483956920686,0.16376295184146095,-0.042980008398795344,0.3171675212895644,-0.26612710917723104,0.0
0.0,4.0,-1.7494933195983818e-05,-0.005933409788016389,0.001332490263450966,-0.007640028979990758,9.633216860988831e-05,-0.014825097692362885,0.01918741674988081,-0.029710449429143776,-0.004464333073653846,-1.463638718118415,0.3070795041693959,-1.890325706664937,0.011081485276043402,-3.5898265096020134,4.715210925856531,-7.2391980500931625,1.257975457019068e-05,0.025656127302881485,-0.00030716125150226966,-0.021933276431131927,-0.0030734774178490607,-0.024505188037746616,-0.018159784079890405,-0.030301952336318168,-0.09393589325439644,-0.14799654653642635,0.477018026190521,-0.04788483956920686,0.16376295184146095,-0.042980008398795344,0.3171675212895644,-0.26612710917723104,0.0
0.0,5.0,-2.7383553494899753e-05,-0.009399262797450217,0.002063625705726725,-0.01212080864862766,0.00023799573437354045,-0.02108471710119882,0.02980577468220677,-0.04583120898681349,-0.005429118877354846,-1.996614019470043,0.4242615076396714,-2.583955468532445,0.1308416364674838,-2.682803489943528,5.898416796602892,-8.871029108824331,1.951289725215125e-05,0.03855123813363049,-0.0005209773148933225,-0.033090442507331806,-0.004887380702219444,-0.037448900718791873,-0.028146634827276782,-0.046738067399271804,-0.09393589325439644,-0.14799654653642635,0.477018026190521,-0.04788483956920686,0.16376295184146095,-0.042980008398795344,0.3171675212895644,-0.26612710917723104,0.0
0.0,6.0,-3.940771702752312e-05,-0.013713527956868067,0.0029937235592071326,-0.017714393102186254,0.0005253308101686375,-0.027236718757996162,0.04269296308304962,-0.06516192429159423,-0.006597424083933812,-2.316121534899418,0.506608029547774,-3.008169687714866,0.15832977593143854,-3.4633644535776833,6.9848088604903245,-10.44956980854965,2.7951409514935767e-05,0.05343699528806469,-0.0007649395438170465,-0.046034716369121306,-0.00712806158699176,-0.05275852670439937,-0.04019939985295338,-0.06644166657679756,-0.09393589325439644,-0.14799654653642635,0.477018026190521,-0.04788483956920686,0.16376295184146095,-0.042980008398795344,0.3171675212895644,-0.26612710917723104,0.0
0.0,7.0,-5.350485212486388e-05,-0.019125093279038136,0.004154976689003376,-0.02395246217655613,0.0010288814307278307,-0.032703952923119374,0.05781972521033603,-0.08757454785447763,-0.0075080105009811444,-3.0828788001085137,0.6547568103027821,-3.2303733985550895,0.3443186236124699,-2.0216574700395658,8.13776795138195,-11.953333706568133,3.787101976838485e-05,0.07007193175514324,-0.0010264762415519526,-0.06057370157985389,-0.00980547994066263,-0.07027220200479078,-0.05426687492897932,-0.08928298596430474,-0.09393589325439644,-0.14799654653642635,0.477018026190521,-0.04788483956920686,0.16376295184146095,-0.042980008398795344,0.3171675212895644,-0.26612710917723104,0.0
0.0,8.0,-6.967513859621732e-05,-0.026049905575301003,0.0055746631681168465,-0.029468152668297963,0.0017889071719876986,-0.03793848982857626,0.0751050611084546,-0.11294666086380825,-0.008667271887402865,-3.8268554399357804,0.7654909969871281,-2.3052092240906736,0.4169255522617271,-3.200419267369711,9.144827009006823,-13.409495858811256,4.924273797785055e-05,0.08824265447485508,-0.0012921171614462099,-0.07653729688600382,-0.012930005548847441,-0.08983743008122032,-0.07030057714959634,-0.11513695874018268,-0.09393589325439644,-0.14799654653642635,0.477018026190521,-0.04788483956920686,0.16376295184146095,-0.042980008398795344,0.3171675212895644,-0.26612710917723104,0.0
0.0,9.0,-8.800596332727706e-05,-0.034141004809122896,0.00725351669076415,-0.03497649390037914,0.002805444985662919,-0.04259645222874228,0.09453286356922717,-0.14116747107577166,-0.009673441866173162,-4.259953330252938,0.9137127862081809,-3.1921964986749947,0.5984738802571532,-1.478903256473114,10.27870287559606,-14.802296375955219,6.203537450729495e-05,0.10776064373054836,-0.001547453723633325,-0.09377498629475771,-0.016511309319821726,-0.11131026832228941,-0.08825473403765019,-0.14388307348350532,-0.09393589325439644,-0.14799654653642635,0.477018026190521,-0.04788483956920686,0.16376295184146095,-0.042980008398795344,0.3171675212895644,-0.26612710917723104,0.0
